1	84	18322	3
2	79	29874	4
3	87	5067	2
4	80	5067	3
5	31	5067	4
6	52	26408	4
7	2	22893	3
8	46	22893	4
9	35	23994	1
10	48	23994	2
11	21	23994	4
12	25	32565	4
13	52	32715	1
14	57	32715	2
15	59	32715	3
16	47	32715	4
17	48	10102	2
18	20	10102	3
19	70	15470	2
20	53	15470	4
21	58	5206	4
22	55	22994	4
23	15	27949	1
24	33	27949	2
25	46	27949	3
26	47	27949	4
27	12	5728	2
28	6	5728	3
29	40	5728	4
30	51	21904	1
31	45	21904	2
32	8	21904	3
33	70	21904	4
34	67	27994	1
35	72	27994	2
36	16	27994	3
37	60	27994	4
38	67	27993	1
39	72	27993	2
40	16	27993	3
41	55	27993	4
42	54	29532	4
43	29	13882	4
44	25	517	2
45	27	1828	1
46	52	1828	2
47	45	1828	3
48	27	1829	1
49	52	1829	2
50	22	18493	2
51	44	18493	4
52	54	16602	4
53	31	13712	1
54	61	13712	2
55	57	13712	3
56	38	13712	4
57	56	20520	1
58	69	20520	2
59	69	20520	3
60	57	20520	4
61	72	18316	1
62	77	18316	2
63	51	18316	4
64	75	18492	4
65	47	21247	4
66	86	19634	4
67	3	14352	1
68	70	14352	4
69	33	10970	1
70	73	10970	2
71	50	10970	3
72	57	10970	4
73	12	11537	3
74	48	2335	2
75	20	2335	3
76	2	29296	2
77	83	23945	4
78	67	7560	1
79	22	7560	3
80	31	7560	4
81	60	10963	1
82	55	10963	2
83	50	10963	3
84	46	10963	4
85	73	28580	2
86	19	28580	3
87	67	31887	1
88	72	31887	2
89	72	31887	3
90	42	32260	1
91	65	32260	2
92	25	32260	3
93	12	22343	3
94	27	22343	4
95	53	910	4
96	83	23198	2
97	9	23198	3
98	38	23198	4
99	83	2529	4
100	16	31074	3
101	33	31074	4
102	14	32369	4
103	69	25991	1
104	45	25991	2
105	35	25991	3
106	55	25991	4
107	34	29808	1
108	69	27817	1
109	55	27817	2
110	23	27817	3
111	60	27817	4
112	11	4429	1
113	18	4429	2
114	66	4429	3
115	43	4429	4
116	47	11787	4
117	27	29297	1
118	51	29297	2
119	56	2623	1
120	69	2623	2
121	28	2623	3
122	40	1119	3
123	40	13543	3
124	49	13543	4
125	40	24736	3
126	13	13544	1
127	6	13544	3
128	36	13544	4
129	58	25917	2
130	64	25917	3
131	31	25917	4
132	74	27627	1
133	32	27627	2
134	19	27627	3
135	23	27627	4
136	50	13546	2
137	42	13546	3
138	29	13546	4
139	53	14650	3
140	16	14650	4
141	51	13713	1
142	55	13713	2
143	39	13713	3
144	76	13713	4
145	69	18491	1
146	39	18491	2
147	67	18491	3
148	76	18491	4
149	69	15706	1
150	55	15706	2
151	67	15706	3
152	56	15706	4
153	73	11539	2
154	84	11539	3
155	79	11539	4
156	25	19473	2
157	73	19473	3
158	71	19473	4
159	40	14353	2
160	84	14353	3
161	63	14353	4
162	11	10966	1
163	18	10966	2
164	75	10966	3
165	69	11416	1
166	51	11416	2
167	67	11416	3
168	79	11416	4
169	52	18931	4
170	11	17115	1
171	46	17115	2
172	75	17115	3
173	84	17115	4
174	52	21248	1
175	50	21248	3
176	52	21248	4
177	43	19640	1
178	84	19640	2
179	80	19640	3
180	60	19640	4
181	78	12941	1
182	56	12941	2
183	75	12941	3
184	69	12941	4
185	50	19829	1
186	66	19829	2
187	78	19829	3
188	73	19829	4
189	11	10965	1
190	18	10965	2
191	75	10965	3
192	69	15923	1
193	55	15923	2
194	69	15923	3
195	79	15923	4
196	69	15996	1
197	64	15996	2
198	67	15996	3
199	38	15996	4
200	69	18909	1
201	70	18909	2
202	52	18909	3
203	53	18909	4
204	66	12424	1
205	70	12424	2
206	46	12424	3
207	92	12424	4
208	66	18317	1
209	57	18317	2
210	66	18317	3
211	57	18317	4
212	69	13085	1
213	55	13085	2
214	59	13085	3
215	65	13085	4
216	69	19675	1
217	55	19675	2
218	73	19675	3
219	73	19675	4
220	27	21652	1
221	52	21652	2
222	32	23328	4
223	51	29754	2
224	70	29754	3
225	44	29754	4
226	25	13545	2
227	49	18843	4
228	22	25378	4
229	65	25379	1
230	64	25379	2
231	33	25379	3
232	45	28686	3
233	57	28686	4
234	72	28685	1
235	72	28685	2
236	69	28685	4
237	67	24689	2
238	16	24689	3
239	43	24689	4
240	24	3827	1
241	52	3827	2
242	41	3827	3
243	32	3827	4
244	85	21400	2
245	36	21400	4
246	24	15343	3
247	24	15343	4
248	84	10793	2
249	57	24961	4
250	71	12639	1
251	58	12639	2
252	40	12639	3
253	54	12639	4
254	44	18197	2
255	48	18197	3
256	19	18197	4
257	9	13613	1
258	62	13613	3
259	64	13613	4
260	83	23447	1
261	48	23447	2
262	66	23447	3
263	48	23447	4
264	50	30244	4
265	6	21721	1
266	25	21721	4
267	39	32140	4
268	62	7339	4
269	32	7877	3
270	83	7877	4
271	52	7272	4
272	69	7533	1
273	55	7533	2
274	67	7533	3
275	21	7927	1
276	11	7927	3
277	63	7927	4
278	67	7300	1
279	81	7300	2
280	39	7300	3
281	41	7300	4
282	35	9778	1
283	28	9778	3
284	25	20103	2
285	39	17168	2
286	2	17168	3
287	82	17168	4
288	44	12823	2
289	46	12823	3
290	38	12524	4
291	12	14547	2
292	33	14547	4
293	26	29438	1
294	28	29438	3
295	77	29438	4
296	67	15148	1
297	42	15148	3
298	23	15148	4
299	2	13567	3
300	64	13567	4
301	67	14105	1
302	63	14105	2
303	44	14105	3
304	74	14105	4
305	28	17596	3
306	73	17596	4
307	50	15794	4
308	67	18718	1
309	47	18718	2
310	48	18718	3
311	31	21943	4
312	12	25199	2
313	40	25199	3
314	63	25199	4
315	0	32202	1
316	38	32202	3
317	32	32202	4
318	19	25200	1
319	22	25200	2
320	2	25200	3
